Price,Close,High,Low,Open,Volume,SMA_50,SMA_200,RSI
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,,,
Date,,,,,,,,
2023-01-01,16625.080078125,16630.439453125,16521.234375,16547.9140625,9244361700,16625.080078125,16625.080078125,
2023-01-02,16688.470703125,16759.34375,16572.228515625,16625.509765625,12097775227,16656.775390625,16656.775390625,
2023-01-03,16679.857421875,16760.447265625,16622.37109375,16688.84765625,13903079207,16664.469401041668,16664.469401041668,
2023-01-04,16863.23828125,16964.5859375,16667.763671875,16680.205078125,18421743322,16714.16162109375,16714.16162109375,
2023-01-05,16836.736328125,16884.021484375,16790.283203125,16863.47265625,13692758566,16738.6765625,16738.6765625,
2023-01-06,16951.96875,16991.994140625,16716.421875,16836.47265625,14413662913,16774.225260416668,16774.225260416668,
2023-01-07,16955.078125,16975.017578125,16914.19140625,16952.1171875,7714767174,16800.061383928572,16800.061383928572,
2023-01-08,17091.14453125,17091.14453125,16924.05078125,16954.146484375,9768827914,16836.44677734375,16836.44677734375,
2023-01-09,17196.5546875,17389.95703125,17093.9921875,17093.9921875,18624736866,16876.45876736111,16876.45876736111,
2023-01-10,17446.29296875,17484.720703125,17162.990234375,17192.94921875,15808338949,16933.4421875,16933.4421875,
2023-01-11,17934.896484375,17934.896484375,17337.994140625,17446.359375,18372283782,17024.483487215908,17024.483487215908,
2023-01-12,18869.587890625,19030.087890625,17995.203125,18117.59375,34971338710,17178.2421875,17178.2421875,
2023-01-13,19909.57421875,19964.322265625,18753.1640625,18868.90625,29225029694,17388.34465144231,17388.34465144231,
2023-01-14,20976.298828125,21075.142578125,19907.828125,19910.537109375,38967784639,17644.627092633928,17644.627092633928,
2023-01-15,20880.798828125,20993.748046875,20606.986328125,20977.484375,19298407543,17860.371875,17860.371875,97.10833068849188
2023-01-16,21169.6328125,21360.875,20715.74609375,20882.224609375,26792494050,18067.20068359375,18067.20068359375,97.24579455995519
2023-01-17,21161.51953125,21438.66015625,20978.533203125,21175.833984375,24999983362,18249.219439338234,18249.219439338234,97.25604846100396
2023-01-18,20688.78125,21564.501953125,20541.544921875,21161.05078125,30005625418,18384.750651041668,18384.750651041668,88.01781832298137
2023-01-19,21086.79296875,21163.01171875,20685.380859375,20686.74609375,21152848261,18526.963404605263,18526.963404605263,89.33227484651398
